,Title,Year,Rating,Description,Director,Acteurs,Runtime,Genre
10,Boss Level,(2020),"

6.8
","
    A retired special forces officer is trapped in a never ending time loop on the day of his death.",Joe Carnahan,Frank Grillo-Mel Gibson-Naomi Watts-Michelle Yeoh,100 min,"
Action, Mystery, Sci-Fi            "
11,復仇者聯盟：終局之戰,(2019),"

8.4
","
    After the devastating events of 復仇者聯盟：無限之戰 (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,Joe Russo-Robert Downey Jr.-Chris Evans-Mark Ruffalo-Chris Hemsworth,181 min,"
Action, Adventure, Drama            "
12,Mortal Kombat,(2021),,"
    MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.",Simon McQuoid,Josh Lawson-Jessica McNamee-Hiroyuki Sanada-Joe Taslim,,"
Action, Adventure, Fantasy            "
13,復仇者聯盟2：奧創紀元,(2015),"

7.3
","
    When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Joss Whedon,Robert Downey Jr.-Chris Evans-Mark Ruffalo-Chris Hemsworth,141 min,"
Action, Adventure, Sci-Fi            "
14,Raya and the Last Dragon,(2021),,"
    In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",Don Hall,Carlos López Estrada-Paul Briggs-John Ripa-Alan Tudyk-Gemma Chan-Awkwafina-Kelly Marie Tran,,"
Animation, Action, Adventure            "
15,Bajocero,(2021),"

6.2
","
    On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.",Lluís Quílez,Javier Gutiérrez-Karra Elejalde-Luis Callejo-Andrés Gertrúdix,106 min,"
Action, Adventure, Crime            "
16,驚奇隊長,(2019),"

6.9
","
    Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.",Anna Boden,Ryan Fleck-Brie Larson-Samuel L. Jackson-Ben Mendelsohn-Jude Law,123 min,"
Action, Adventure, Sci-Fi            "
17,猛禽小隊：小丑女大解放,(2020),"

6.1
","
    After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.",Cathy Yan,Margot Robbie-Rosie Perez-Mary Elizabeth Winstead-Jurnee Smollett,109 min,"
Action, Adventure, Comedy            "
18,自殺突擊隊：集結,(2021),,"
    Plot is unknown.",James Gunn,Margot Robbie-Joel Kinnaman-Taika Waititi-Sylvester Stallone,,"
Action, Adventure, Fantasy            "
19,紳士追殺令,(2019),"

7.8
","
    An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Guy Ritchie,Matthew McConaughey-Charlie Hunnam-Michelle Dockery-Jeremy Strong,113 min,"
Action, Comedy, Crime            "
20,Hour of Lead,(2020),"

5.7
","
    Story of a husband and wife that will stop at nothing to find their missing daughter, who disappeared on a family camping trip. When the police don't catch any leads, the duo take over.",Peter Facinelli,Anne Heche-Thomas Jane-Jason Patric-Alex Haydon,115 min,"
Action, Mystery, Thriller            "
21,Nobody,(I) (2021),,"
    A bystander who intervenes to help a woman being harassed by a group of men becomes the target of a vengeful drug lord.",Ilya Naishuller,Bob Odenkirk-Connie Nielsen-Christopher Lloyd-J.P. Manoux,92 min,"
Action, Crime, Drama            "
22,惡棍英雄：死侍,(2016),"

8.0
","
    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,Ryan Reynolds-Morena Baccarin-T.J. Miller-Ed Skrein,108 min,"
Action, Adventure, Comedy            "
23,末日激戰,(2021),"

5.4
","
    In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",Mikael Håfström,Anthony Mackie-Damson Idris-Enzo Cilenti-Emily Beecham,114 min,"
Action, Adventure, Fantasy            "
24,X戰警：未來昔日,(2014),"

7.9
","
    The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.",Bryan Singer,Patrick Stewart-Ian McKellen-Hugh Jackman-James McAvoy,132 min,"
Action, Adventure, Sci-Fi            "
25,復仇者聯盟：無限之戰,(2018),"

8.4
","
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",Anthony Russo,Joe Russo-Robert Downey Jr.-Chris Hemsworth-Mark Ruffalo-Chris Evans,149 min,"
Action, Adventure, Sci-Fi            "
26,致命天際線,(2020),"

4.7
","
    A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.",Roseanne Liang,Chloë Grace Moretz-Nick Robinson-Beulah Koale-Taylor John Smith,83 min,"
Action, Horror, War            "
27,哥吉拉Ⅱ：怪獸之王,(2019),"

6.0
","
    The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",Michael Dougherty,Kyle Chandler-Vera Farmiga-Millie Bobby Brown-Ken Watanabe,132 min,"
Action, Adventure, Fantasy            "
28,全面啟動,(2010),"

8.8
","
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",Christopher Nolan,Leonardo DiCaprio-Joseph Gordon-Levitt-Elliot Page-Ken Watanabe,148 min,"
Action, Adventure, Sci-Fi            "
29,特攻聯盟,(2010),"

7.6
","
    Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,Aaron Taylor-Johnson-Nicolas Cage-Chloë Grace Moretz-Garrett M. Brown,117 min,"
Action, Comedy, Crime            "
30,Run Hide Fight,(2020),"

6.5
","
    17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.",Kyle Rankin,Isabel May-Radha Mitchell-Thomas Jane-Eli Brown,109 min,"
Action, Thriller            "
31,魔戒首部曲：魔戒現身,(2001),"

8.8
","
    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",Peter Jackson,Elijah Wood-Ian McKellen-Orlando Bloom-Sean Bean,178 min,"
Action, Adventure, Drama            "
32,魔物獵人,(I) (2020),"

5.3
","
    When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",Paul W.S. Anderson,Milla Jovovich-Tony Jaa-Ron Perlman-T.I.,103 min,"
Action, Adventure, Fantasy            "
33,末日列車,(2013),"

7.1
","
    In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.",Bong Joon Ho,Chris Evans-Jamie Bell-Tilda Swinton-Ed Harris,126 min,"
Action, Drama, Sci-Fi            "
34,Thor: Love and Thunder,(2022),,"
    The sequel to Thor: Ragnarok and the fourth movie in the Thor saga.",Taika Waititi,Karen Gillan-Natalie Portman-Christian Bale-Chris Hemsworth,,"
Action, Adventure, Fantasy            "
35,Borderlands,,,"
    A feature film based on the popular video game set on the abandoned fictional planet of Pandora where people search for a mysterious relic.",Eli Roth,Cate Blanchett-Jamie Lee Curtis-Jack Black-Kevin Hart,,"
Action, Adventure, Comedy            "
36,X戰警：天啟,(2016),"

6.9
","
    In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",Bryan Singer,James McAvoy-Michael Fassbender-Jennifer Lawrence-Nicholas Hoult,144 min,"
Action, Adventure, Sci-Fi            "
37,小子難纏,(1984),"

7.3
","
    A martial arts master agrees to teach karate to a bullied teenager.",John G. Avildsen,Ralph Macchio-Pat Morita-Elisabeth Shue-Martin Kove,126 min,"
Action, Drama, Family            "
38,駭客任務4,(2021),,"
    The plot is currently unknown.",Lana Wachowski,Priyanka Chopra-Keanu Reeves-Carrie-Anne Moss-Jonathan Groff,,"
Action, Sci-Fi            "
39,黑暗騎士,(2008),"

9.0
","
    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,Christian Bale-Heath Ledger-Aaron Eckhart-Michael Caine,152 min,"
Action, Crime, Drama            "
40,Master,(2021),"

7.1
","
    An alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the school children for criminal activities.",Lokesh Kanagaraj,Vijay Sethupathi-Malavika Mohanan-Joseph Vijay-Andrea Jeremiah,179 min,"
Action, Thriller            "
41,花木蘭,(2020),"

5.6
","
    A young Chinese maiden disguises herself as a male warrior in order to save her father.",Niki Caro,Yifei Liu-Donnie Yen-Li Gong-Jet Li,115 min,"
Action, Adventure, Drama            "
42,蝙蝠俠,(2022),,"
    The plot is unknown.",Matt Reeves,Robert Pattinson-Colin Farrell-Zoë Kravitz-Andy Serkis,,"
Action, Crime, Drama            "
43,私刑教育,(2014),"

7.2
","
    A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.",Antoine Fuqua,Denzel Washington-Marton Csokas-Chloë Grace Moretz-David Harbour,132 min,"
Action, Crime, Thriller            "
44,水行俠,(2018),"

6.9
","
    Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",James Wan,Jason Momoa-Amber Heard-Willem Dafoe-Patrick Wilson,143 min,"
Action, Adventure, Fantasy            "
45,全民小英雄,(II) (2020),"

4.7
","
    When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents- and the planet.",Robert Rodriguez,YaYa Gosselin-Pedro Pascal-Priyanka Chopra-Lyon Daniels,100 min,"
Action, Comedy, Drama            "
46,捍衛救援,(2021),"

5.9
","
    A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.",Robert Lorenz,Katheryn Winnick-Liam Neeson-Teresa Ruiz-Juan Pablo Raba,108 min,"
Action, Thriller            "
47,自殺突擊隊,(2016),"

6.0
","
    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.",David Ayer,Will Smith-Jared Leto-Margot Robbie-Viola Davis,123 min,"
Action, Adventure, Fantasy            "
48,雷神索爾3：諸神黃昏,(2017),"

7.9
","
    Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Taika Waititi,Chris Hemsworth-Tom Hiddleston-Cate Blanchett-Mark Ruffalo,130 min,"
Action, Adventure, Comedy            "
49,星際異攻隊,(2014),"

8.0
","
    A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.",James Gunn,Chris Pratt-Vin Diesel-Bradley Cooper-Zoe Saldana,121 min,"
Action, Adventure, Comedy            "
50,黑豹,(2018),"

7.3
","
    T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,Chadwick Boseman-Michael B. Jordan-Lupita Nyong'o-Danai Gurira,134 min,"
Action, Adventure, Sci-Fi            "
51,死侍2,(2018),"

7.7
","
    Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",David Leitch,Ryan Reynolds-Josh Brolin-Morena Baccarin-Julian Dennison,119 min,"
Action, Adventure, Comedy            "
52,飢餓遊戲,(2012),"

7.2
","
    Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.",Gary Ross,Jennifer Lawrence-Josh Hutcherson-Liam Hemsworth-Stanley Tucci,142 min,"
Action, Adventure, Sci-Fi            "
53,駭客任務,(1999),"

8.7
","
    When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski,Lilly Wachowski-Keanu Reeves-Laurence Fishburne-Carrie-Anne Moss-Hugo Weaving,136 min,"
Action, Sci-Fi            "
54,黑寡婦,(2021),,"
    A film about Natasha Romanoff in her quests between the films Civil War and Infinity War.",Cate Shortland,Scarlett Johansson-Florence Pugh-David Harbour-Rachel Weisz,133 min,"
Action, Adventure, Sci-Fi            "
55,Doctor Strange in the Multiverse of Madness,(2022),,"
    Plot unknown. Sequel to the 2016 Marvel film 'Doctor Strange'.",Sam Raimi,Elizabeth Olsen-Rachel McAdams-Benedict Cumberbatch-Chiwetel Ejiofor,,"
Action, Adventure, Fantasy            "
56,Black Beach,(2020),"

5.6
","
    Carlos is a businessman who gets a request to intercede on behalf of a US engineer in the oil industry who's been kidnapped.",Esteban Crespo,Raúl Arévalo-Paulina García-Candela Peña-Claude Musungayi,110 min,"
Action, Drama, Thriller            "
57,異種獵殺,(IV) (2020),"

3.7
","
    On the cusp of fatherhood, a junior mechanic aboard an interstellar ark to New Earth must outwit a malevolent cosmic terror intent on using the spaceship as a weapon.",John Suits,Cody Kearsley-Bruce Willis-Rachel Nichols-Kassandra Clementi,92 min,"
Action, Sci-Fi            "
58,金剛：骷髏島,(2017),"

6.6
","
    After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",Jordan Vogt-Roberts,Tom Hiddleston-Samuel L. Jackson-Brie Larson-John C. Reilly,118 min,"
Action, Adventure, Fantasy            "
59,哥吉拉,(2014),"

6.4
","
    The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",Gareth Edwards,Aaron Taylor-Johnson-Elizabeth Olsen-Bryan Cranston-Ken Watanabe,123 min,"
Action, Adventure, Sci-Fi            "
60,海灘救護隊,(2017),"

5.5
","
    Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Seth Gordon,Dwayne Johnson-Zac Efron-Alexandra Daddario-Priyanka Chopra,116 min,"
Action, Comedy, Crime            "
61,晴雅集,(2020),"

6.3
","
    Qing Ming, the Yin-Yang Master, took his master's last wish and went to the Captial Tiandu City to attend the heaven ceremony.",Jingming Guo,Mark Chao-Allen Deng-Ziwen Wang-Jessie Li,132 min,"
Action, Drama, Fantasy            "
62,正義聯盟,(2017),"

6.3
","
    Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",Zack Snyder,Ben Affleck-Gal Gadot-Jason Momoa-Ezra Miller,120 min,"
Action, Adventure, Fantasy            "
63,永恆族,(2021),,"
    The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",Chloé Zhao,Salma Hayek-Angelina Jolie-Gemma Chan-Richard Madden,,"
Action, Adventure, Drama            "
64,X戰警：黑鳳凰,(2019),"

5.7
","
    Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",Simon Kinberg,James McAvoy-Michael Fassbender-Jennifer Lawrence-Nicholas Hoult,113 min,"
Action, Adventure, Sci-Fi            "
65,007：生死交戰,(2021),,"
    James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Cary Joji Fukunaga,Daniel Craig-Ana de Armas-Rami Malek-Ralph Fiennes,163 min,"
Action, Adventure, Thriller            "
66,銀翼殺手2049,(2017),"

8.0
","
    Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,Harrison Ford-Ryan Gosling-Ana de Armas-Dave Bautista,164 min,"
Action, Drama, Mystery            "
67,美國隊長3：英雄內戰,(2016),"

7.8
","
    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.",Anthony Russo,Joe Russo-Chris Evans-Robert Downey Jr.-Scarlett Johansson-Sebastian Stan,147 min,"
Action, Adventure, Sci-Fi            "
68,美國隊長,(2011),"

6.9
","
    Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",Joe Johnston,Chris Evans-Hugo Weaving-Samuel L. Jackson-Hayley Atwell,124 min,"
Action, Adventure, Sci-Fi            "
69,復仇者聯盟,(2012),"

8.0
","
    Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.",Joss Whedon,Robert Downey Jr.-Chris Evans-Scarlett Johansson-Jeremy Renner,143 min,"
Action, Adventure, Sci-Fi            "
70,關鍵下一秒,(2007),"

6.2
","
    A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.",Lee Tamahori,Nicolas Cage-Julianne Moore-Jessica Biel-Thomas Kretschmann,96 min,"
Action, Sci-Fi, Thriller            "
71,捍衛戰士：獨行俠,(2021),,"
    After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",Joseph Kosinski,Tom Cruise-Jennifer Connelly-Miles Teller-Jean Louisa Kelly,,"
Action, Drama            "
72,STAR WARS：天行者的崛起,(2019),"

6.6
","
    The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.",J.J. Abrams,Daisy Ridley-John Boyega-Oscar Isaac-Adam Driver,141 min,"
Action, Adventure, Fantasy            "
73,雷神索爾,(2011),"

7.0
","
    The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,Chris Hemsworth-Anthony Hopkins-Natalie Portman-Tom Hiddleston,115 min,"
Action, Adventure, Fantasy            "
74,關鍵救援72小時,(2010),"

7.3
","
    A married couple's life is turned upside down when the wife is accused of a murder.",Paul Haggis,Russell Crowe-Elizabeth Banks-Liam Neeson-Michael Buie,133 min,"
Action, Crime, Drama            "
75,神鬼傳奇,(1999),"

7.0
","
    At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",Stephen Sommers,Brendan Fraser-Rachel Weisz-John Hannah-Arnold Vosloo,124 min,"
Action, Adventure, Fantasy            "
76,瘋狂麥斯：憤怒道,(2015),"

8.1
","
    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,Tom Hardy-Charlize Theron-Nicholas Hoult-Zoë Kravitz,120 min,"
Action, Adventure, Sci-Fi            "
77,Untitled Spider-Man Sequel,(2021),,"
    A continuation of Spider-Man Far From Home",Jon Watts,Zendaya-Tom Holland-Benedict Cumberbatch-Marisa Tomei,,"
Action, Adventure, Sci-Fi            "
78,蜘蛛人：返校日,(2017),"

7.4
","
    Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",Jon Watts,Tom Holland-Michael Keaton-Robert Downey Jr.-Marisa Tomei,133 min,"
Action, Adventure, Sci-Fi            "
79,鋼鐵人,(2008),"

7.9
","
    After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,Robert Downey Jr.-Gwyneth Paltrow-Terrence Howard-Jeff Bridges,126 min,"
Action, Adventure, Sci-Fi            "
80,天才少女福爾摩斯,(2020),"

6.6
","
    When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",Harry Bradbeer,Millie Bobby Brown-Henry Cavill-Sam Claflin-Helena Bonham Carter,123 min,"
Action, Adventure, Crime            "
81,神鬼戰士,(2000),"

8.5
","
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",Ridley Scott,Russell Crowe-Joaquin Phoenix-Connie Nielsen-Oliver Reed,155 min,"
Action, Adventure, Drama            "
82,變種人,(2020),"

5.3
","
    Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",Josh Boone,Maisie Williams-Anya Taylor-Joy-Charlie Heaton-Alice Braga,94 min,"
Action, Horror, Sci-Fi            "
83,賽道狂人,(2019),"

8.1
","
    American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.",James Mangold,Matt Damon-Christian Bale-Jon Bernthal-Caitriona Balfe,152 min,"
Action, Biography, Drama            "
84,X戰警：第一戰,(2011),"

7.7
","
    In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",Matthew Vaughn,James McAvoy-Michael Fassbender-Jennifer Lawrence-Kevin Bacon,131 min,"
Action, Adventure, Sci-Fi            "
85,馬德里金庫盜數90分鐘,(2021),"

7.1
","
    Thom, a genius engineering graduate is interested in the Bank of Spain's safe. The Bank building is more than 100 years old, with no building blueprints available and a security system that...                See full summary »
",Jaume Balagueró,Famke Janssen-Freddie Highmore-Astrid Bergès-Frisbey-Liam Cunningham,118 min,"
Action, Adventure, Thriller            "
86,捍衛任務,(2014),"

7.4
","
    An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.",Chad Stahelski,David Leitch-Keanu Reeves-Michael Nyqvist-Alfie Allen-Willem Dafoe,101 min,"
Action, Crime, Thriller            "
87,Venom: Let There Be Carnage,(2021),,"
    Plot unknown. Sequel to the 2018 film 'Venom'.",Andy Serkis,Tom Hardy-Michelle Williams-Woody Harrelson-Naomie Harris,,"
Action, Horror, Sci-Fi            "
88,終極追殺令,(1994),"

8.5
","
    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,Jean Reno-Gary Oldman-Natalie Portman-Danny Aiello,110 min,"
Action, Crime, Drama            "
89,歪小子史考特,(2010),"

7.5
","
    In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright,Michael Cera-Mary Elizabeth Winstead-Kieran Culkin-Anna Kendrick,112 min,"
Action, Comedy, Fantasy            "
90,Without Remorse,(2021),,"
    John Clark, a Navy SEAL, goes on a path to avenge his wife's murder only to find himself inside of a larger conspiracy.",Stefano Sollima,Michael B. Jordan-Jodie Turner-Smith-Jamie Bell-Guy Pearce,,"
Action, Adventure, Crime            "
91,Mission: Impossible 7,(2021),,"
    Seventh entry in the long-running Mission: Impossible series.",Christopher McQuarrie,Vanessa Kirby-Tom Cruise-Rebecca Ferguson-Hayley Atwell,,"
Action, Adventure, Thriller            "
92,蜘蛛人：離家日,(2019),"

7.5
","
    Following the events of 復仇者聯盟：終局之戰 (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",Jon Watts,Tom Holland-Samuel L. Jackson-Jake Gyllenhaal-Marisa Tomei,129 min,"
Action, Adventure, Sci-Fi            "
93,黑暗騎士：黎明昇起,(2012),"

8.4
","
    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,Christian Bale-Tom Hardy-Anne Hathaway-Gary Oldman,164 min,"
Action, Adventure            "
94,愛與怪獸,(I) (2020),"

7.0
","
    In a monster-infested world, Joel learns his girlfriend is just 85 miles away. To make the dangerous journey, Joel discovers his inner hero to be with the girl of his dreams.",Michael Matthews,Dylan O'Brien-Jessica Henwick-Michael Rooker-Dan Ewing,109 min,"
Action, Adventure, Comedy            "
95,神力女超人,(2017),"

7.4
","
    When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Patty Jenkins,Gal Gadot-Chris Pine-Robin Wright-Lucy Davis,141 min,"
Action, Adventure, Fantasy            "
96,Twist,(2021),"

4.0
","
    A Modern take on the classic tale of Oliver Twist.",Martin Owen,Dominic Di Tommaso-Lena Headey-Samuel Leakey-Sally Collett,90 min,"
Action, Drama            "
